BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
GW,21,Stunning Shockboxer,"When you deal stun damage to a target with an unarmed attack, after the stun damage is halved, roll one extra die of damage and add that to the damage subtracted from the target’s hit points. ",2,Stinging Jab,,,,"when you deal stun dam with unarmed atk, after dam is halved add +1 die dam ",Soldier,Shockboxer,Soldier
CR,52,Stunning Strike,"When you damage an opponent with a melee attack, your opponent moves an additional -1 step along the condition track (see page 149) if your damage roll result equals or exceeds the target's damage threshold. ",2,Melee Smash,,,,"with damage in a melee attack, move -1 CT if damage beat threshold",Soldier,Brawler,Soldier
C,24,Stymie,"Once per round, as a swift action, you can designate a target within 12 squares of you and in your line of sight as the target of this talent. Until the beginning of your turn, you can cause that target to take a -5 penalty on all checks made with a single skill. You must have line of sight to your target to make use of this talent, and declare which skill is to be penalized at the time this talent is activated. This is a mind-affecting effect.",1,,swif,,,"1/round target w/in 12sq & LOS, target -5 one skill until beginning of your turn",Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
SV,18,Sucker Punch,"When your melee attack damages an opponent that is denied its Dexterity bonus to Reflex Defense , that opponent cannot take attacks of opportunity until the end of its next turn. ",1,,,,,if your melee Atk does dam v. Opp without Dex to Def that opp cannot make Atk of Opp,Soldier,Brawler,Soldier
J,83,Sudden Storm,"Instead of a normal melee attack at the end of the charge, you can spend a Force Point to make a Whirlwind Attack (as per the feat) at the end of a charge, provided you are not wielding any weapons (except combat gloves or stun gauntlets), ",2,Seyugi Cyclone,,x,,"make Whirlwind Attack at end of charge not normal melee attack if using no weapons (gloves, etc)",Force-Using Traditions,Seyugi Dervish,"Force Disciple, Jedi Master, Sith Lord"
SV,15,Sudden Strike,"Whenever you would gain the benefit of the Skirmisher talent and you successfully hit your opponent, you deal sneak attack damage in addition to the normal damage dealt by the attack. ",3,"Skirmisher, Sneak Attack",,,,deal sneak attack damage when you use Skirmisher,Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
GW,19,Summon Aid,"Once per round, as a reaction, when an enemy moves adjacent to you, you can enable one ally within your line of sight to immediately make a charge attack against the triggering enemy. The ally you choose must be able to charge the enemy from his or her current square under normal charge rules. ",2,Get Down,reac,,,"1/rnd when enemy moves adjacent, enable 1 ally in LOS to make charge atk v. that enemy",Noble,Anticipation,Noble
SGD,26,Supervising Droid,"You are programmed to oversee other droids. You can use each of the following actions once per encounter: •Combat Support: As a standard action, you automatically aid another on an allied droid’s attack roll, provided you are capable of using the aid another action to assist that ally. If you also have Weapon Focus with this weapon, you increase the bonus provided by the aid another action from +2 to +3. •Director: As a standard action, you automatically aid another droid with a skill you are trained in. If you also have Skill Focus in the skill, you increase the aid another bonus from +2 to +5. •Instant Action: As a swift action, you grant one ally a swift action that it can use immediately as a free action. ",3,"Observant, 1 from Influence, Inspiration or Leadership trees",,,,1/enc: as stan auto aid another droid' atk & if have Weapon Focus add +3; as stan auto aid another droid w/skill you are trained in if have Skill Focus add +5; as swif grant ally 1 swif that it can immediately use as a free,Droid,Third-Degree Droid,Droid
J,15,Suppress Force,"You can convince others that they have been cut off from the Force, even if that is not the case, preventing them from making Use the Force checks. Whenever a target with an Intelligence of 3 or higher within 12 squares of you and in your line of sight attempts to make a Use the Force check for any reason, you can spend one use of the mind trick Force power as a reaction. You make a Use the Force check, and if your Use the Force check equals or exceeds the target’s Use the Force check result, that target’s skill check is negated, and the action it was attempting fails. ",2,"Influence Savant, mind trick",reac,,,"mind trick to convince target they can't use the Force, Int 3 & w/in 12sq, UtF v. UtF",Force Sensitive,Alter,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
CR,50,Surefooted,"Your speed is not reduced by difficult terrain (see Difficult Terrain, page 159).",1,,,,,speed not reduced by difficult terrain,Scout,Survivor,"Enforcer, Medic, Outlaw, Pathfinder, Scout, Vanguard"
SV,17,Surge,"Once per encounter, you can use a swift action to move up to your speed. ",2,Long Stride,swif,,,1/encounter move up to your speed,Scout,Fringer,"Outlaw, Scout"
C,53,Surge of Light,"Once per encounter, as a swift action, you can return any Force power with the [light side] descriptor to your suite without spending a Force Point. You can select this talent multiple times. Each time you select it, you can use this talent one additional time per encounter.",1,,swif,,,1/encounter return any [light side] power without spending Force Point,Force Sensitive,Light Side,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master"
F,27,Surprise Strike,"Sometimes a smuggler has to fight his way out of a bad situation. If you fail any Deception check to convey deceptive information, you can initiate combat and make a single unarmed attack as a free action in the surprise round (or with a melee or ranged weapon, if you have the Quick Draw feat); all other combatants are considered surprised even if they are aware of you.",1,,,,,"if fail Deception can make single unarmed strike as free in surprise round, or other with Quick Draw",Scoundrel,Smuggling,Scoundrel
L,29,Surprising Weapons,"Whenever you successfully hit an enemy with an amphistaff, thud bug, or razor bug, and your attack roll also exceeds the target’s Will Defense, that target is considered flat-footed against you until the end of your next turn.",1,,,,,"if your atk with an amphistaff, thud bug, or razor bug is also over Will Def, opponent flat-footed v. you",Scoundrel,Yuuzhan Vong Biotech,Scoundrel
UR,22,Surprisingly Quick,"In a surprise round, if you are not surprised, you can take a swift action in addition to the one other action normally allowed. If you are surprised, you can take a single swift action (instead of no actions). ",1,Skill Focus (Initiative)*,,,,"in surprise rnd if not surprised can take swif in addition to other action, if surprised can take swif",Scout,Master Scout,Scout
J,77,Surrender to the Current,"As a swift action, you can choose to surrender to the White Current and allow it to flow around you and fuel your Force powers. Until the end of the encounter, you cannot use Force powers that do not have ""You"" as the sole target. However, once per turn as a swift action, you can recover one spent Force power that has ""You"" as the sole target without spending a Force Point, adding that power back to your Force suite.",1,,swif,,,"until end of encounter: can only use ""you"" Force Powers & 1/turn recover 1 spent power w/out FP",Force-Using Traditions,White Current Adept,"Force Disciple, Jedi Master, Sith Lord"
F,28,Surveillance,"As a full-round action, you can make a Perception check against a single target within line of sight. The DC-is equal to 15 or the target's Stealth check result (if the target is actively trying to remain hidden), whichever is greater. If the check is successful, you grant yourself and all allies within line of sight a +2 insight bonus on attack rolls against that target until the end of your next turn. Your allies must be able to hear and understand you to benefit from this bonus, and they do not lose the benefit of this talent if they move out of line of sight after it is used. ",1,Perception,full,,,"Perception v. target in LOS, DC15 or Stealth (higher), you & allies +2 atk until next turn & out of LOS",Scout,Spy,"Infiltrator, Scout"
