BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
CR,89,Vehicular Combat,"Once per round (as a reaction), when you are piloting a vehicle or starship, you may negate a weapon hit by making a successful Pilot check. The DC of the skill check is equal to the result of the attack roll you wish to negate. In addition, while you are piloting a vehicle, you are considered proficient with pilot-operated vehicle weapons. (The vehicle descriptions in CR Chapter 10 indicate which weapons are operated by the pilot.)",Trained in Pilot,"negate one attack a round against a vehicle, Pilot v. Atk roll",,,x,x,x,"[skill(pilot)], [combat][defensive], [vehicle][starship][SotG]"
R,30,Vehicular Surge,"If the vehicle you pilot is Colossal or smaller and is reduced to fewer than one-half its maximum hit points, once per day as a swift action your vehicle gains a number of bonus hit points equal to one-quarter its maximum hit point total. Damage is subtracted from bonus hit points first, and any bonus hit points remaining at the end of the encounter are lost. Bonus hit points do not stack.",Trained in Pilot,1/day as swif bonus hp = 1/4 max hp of Colossal or smaller vehicle,,,x,x,x,"[skill(pilot)], [combat][defensive], [vehicle][starship]"
R,36,Veteran Spacer,You gain a +5 species bonus to Use Computer checks to perform astrogation aboard a starship.,Duros,+5 Use Computer to perform astrogation,,,,,,"[species(duros)], [skill(use computer)], [starship]"
R,30,Vitality Surge,"You can catch a second wind even if you are not at or below half your maximum hit points. Normal: Without this feat, you can catch a second wind only if you are at or below half your maximum hit points.","Extra Second Wind, Trained in Endurance",can catch Second Wind even if not below half hit points,,,,,,"[second wind], [combat][defensive]"
R,36,Warrior Heritage,You gain a +2 morale bonus to Will Defense when you wield an atlatl or a cesta.,Gungan,+2 Will Def when you wield atlatl or cesta,,,,,,"[species(gungan)], [Will Defense], [atlatl], [cesta], [combat][defensive]"
C,32,Wary Defender,"When you use the fight defensively action (see page 152 of the Saga Edition core rulebook), you gain a +2 competence bonus to your Fortitude Defense and Will Defense until the beginning of your next turn.",,+2 Fort Def & Will Def if fight defensively,x,x,,,x,"[fortitude defense], [Will Defense], [combat][defensive]"
GW,30,Wary Sentries (team feat),"You gain a +3 competence bonus to Perception checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, you can take 10 on Perception checks, even when threatened or rushed.",Trained in Perception,"+3 Perception & +1 each ally w/feat w/in 12 sq (max +7), can take 10",,,,,,"[skill(perception)]), [team], [support]"
CR,89,Weapon Finesse,"When using a light melee weapon or a lightsaber, you may use your Dexterity modifier instead of your Strength modifier on attack rolls.",BAB +1,Use Dex mod instead of Str mod on Atk with light melee weapons,x,x,,,,"[melee(armed, unarmed)][question ulswp], [dexterity], [combat][offensive]"
K,31,Weapon Finesse + Weapon Focus,"When you are wielding a single one-handed weapon for which you have Weapon Focus, you can treat that weapon as a light weapon.","Combo, requires Weapon Focus",a single one-handed weapon with Focus is light for Weapon Finesse,,,,,,"[melee(armed, unarmed)][question ulswp], [dexterity], [combat][offensive], [combo]"
CR,89,Weapon Focus,"Choose a single exotic weapon or weapon group. You are especially good at using these weapons: [[advanced melee weapons, heavy weapons, lightsabers (1), pistols, rifles or simple weapons. Starship weapons are considered heavy weapons.]] You gain a +1 bonus on all attack rolls you make using the selected exotic weapon or weapon group. Special: You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new exotic weapon or weapon group. SSotG: If you take this feat with heavy weapons, it works normally with vehicle weapons.",Proficient with chosen weapon*,+1 Atk on selected weapon,1,,,,x,"[ranged(grenade, fired, thrown)][melee(armed, unarmed)], [grapple], [combat][offensive], [vehicle][starship]"
K,31,Weapon Focus + Weapon Finesse,"When you are wielding a single one-handed weapon for which you have Weapon Focus, you can treat that weapon as a light weapon.","Combo, requires Weapon Finesse",a single one-handed weapon with Focus is light for Weapon Finesse,,,,,,"[melee(armed, unarmed)][question ulswp], [grapple], [dexterity], [combat][offensive], [combo]"
CR,89,Weapon Proficiency,"Choose one of the following weapon groups: advanced melee weapons (2), heavy weapons (4) (which includes vehicular weapons and starship weapons), lightsabers, pistols, rifles (3) or simple weapons. You are proficient with all weapons of the selected group. For more information on weapon groups, see CR page 119. Starship weapons are considered heavy weapons for proficiency. Normal: If you wield a weapon with which you are not proficient, you take a -5 penalty to your attack rolls. Special: You can gain this feat multiple times. Each time you take the feat, it applies to a different weapon group. You cannot take exotic weapons as a weapon group; instead, you must select the Exotic Weapon Proficiency feat (see CR page 84) to gain proficiency with a specific exotic weapon (such as the bowcaster or flamethrower).",,no -5 penalty on Atk,,"2,3",2,2,"2,4","[ranged(grenade, fired, thrown)], [melee(armed)][ok], [combat][offensive]"
K,31,Weapon Proficiency  (lightsabers) + QD,You can draw and ignite your lightsaber as a single swift action. ,"Combo, requires Quick Draw",draw and ignite lightsaber as single swif action,,,,,,"[melee(armed)][ok], [combat][offensive], [combo]"
CR,89,Whirlwind Attack,"As a full-round action, you can make an area attack with your melee weapon, striking every target within your reach. This whirlwind attack uses the area attack rules [[CR page 155: When you make an area attack, you make a single attack roll; if your modified attack roll is equal to 10 or higher, compare the result to the Reflex Defense of every target in the area. Creatures you hit take full damage. Creatures you miss take half damage. A natural 20 on an area attack roll automatically hits all targets within the affected area, but area attacks do not deal double damage on a critical hit.]] Unleashed: When you use the Whirlwind Attack feat, you can spend a Destiny Point to gain a +5 bonus on your attack roll and knock prone any targets you damage.","Dex 13, Int 13, Melee Defense, BAB +4","melee Atk against each target within reach, make one roll",,,,,,"[melee (armed, unarmed)], [combat][offensive], [dexterity], [intelligence]"
SV,25,Wicked Strike,"When you damage a target with a single, non-area attack using the Rapid Strike feat, once per turn on your turn, you can immediately make a second attack at a -2 penalty against a second target within your reach. If this attack hits, you deal half of the original attack's damage to that target. [[It is believed this -2 penalty does not stack with the -2 penalty from Rapid Strike]]",Rapid Strike,"with Rapid Strike make a 2nd atk at -2 w/in reach, deal half dam",x,x,,,,"[melee(armed, unarmed)][question ulswp], [combat][offensive], "
UR,28,Wilderness First Aid,"Once per day, you can make a DC 20 Survival check. If the check is successful, when you use the Basic Survival application of the Survival skill, you are considered to have a medpac for any Treat Injury checks made until the end of the day. Special: The Gamemaster can adjust the DC for the current environment, raising it for harsh or desert climates or lowering it for more diverse locales.",Trained in Survival,1/day DC20 Survival & considered to have medpacs until end of day,,,,x,,[skill(survival)]
